歌手名字,歌手ID
华晨宇,861777
隔壁老樊,12429072
林俊杰,3684
薛之谦,5781
阿冗,30116848
毛不易,12138269
陈奕迅,2116
周深,1030001
李荣浩,4292
许嵩,5771
徐秉龙,1197168
颜人中,31376161
沈以诚,12002248
千里狗,12538467
解忧邵帅,29392693
汪苏泷,5538
林宥嘉,3685
王巨星,32399227
要不要买菜,33435854
陈阳,28602303
Lil Ghost小鬼,12493781
小乐哥,34035556
张学友,6460
王恩信Est,12904290
张杰,6472
柏松,31876221
en,32220939
永彬Ryan.B,12448205
杨宗纬,6066
枯木逢春,30284835
尚士达,13608761
王泽科,12091048
cv初恋,33191836
接个吻，开一枪,12085016
是你的垚,34301293
焦迈奇,12084229
Lambert,31668975
郭顶,2843
抖音热歌DJ,33211729
张国荣,6457
CMJ,12157336
新旭,12205044
王嘉尔,1083118
小咪,30616479
Jony J,784257
赵雷,6731
小头菜,34304060
徐良,5929
王力宏,5346
葛东琪,12136078
王小帅,29069586
Ice Paper,12121264
段弋,30285100
BigYear大年,12227290
Todd Li,12268138
福克斯,1199064
张敬轩,6462
安筱冷,28387245
周杰伦,6452
Zic子晨,13447522
李代沫,4393
向文涛,31760809
尤长靖,13058503
徐梦圆,1142042
朴树,4721
李克勤,3699
周兴哲,980025
萧敬腾,5768
浪子康,12570153
张震岳,6453
虎二,12286700
皮卡丘多多,33059168
刘德华,3691
马良,13609637
Memtimin-Matrozi,32438340
Ayo97,12287118
张紫豪,13906123
陈鸿宇,1058228
阿'Quan,31093298
许巍,5770
奇然,4873
谭咏麟,5205
摩登兄弟刘宇宁,1094010
Shang,1132749
Lil Yo,33534862
法老,865007
Swang多雷,12276665
阿虾,31093891
潘玮柏,4723
逆时针向,12128251
周华健,6456
吕口口,28304831
吉野千夜,13449630
易烊千玺,939088
G2er,12027122
伍佰,5354
Seto,30950035
刘聪KEY.L,12788674
肖战,13972109
姜鹏Calm,13793914
歌手名字,歌手ID
G.E.M.邓紫棋,7763
王贰浪,14312549
任然,9255
司南,28863695
花粥,8103
等什么君,30285885
陈壹千,12077204
黄诗扶,12308369
NINEONE#,12276375
双笙,12025552
陈粒,1007170
蔡健雅,7214
杨千嬅,10204
杨胖雨,31051426
蜡笔小心,1155027
二胖u,12923493
张叶蕾,12213291
徐佳莹,9940
王菲,9621
你的二智bb,32674400
田馥甄,9548
买辣椒也用券,12085562
莫文蔚,8926
火羊瞌睡了,34522800
程佳佳,31802946
周思涵,12292708
傅如乔,34613873
AY楊佬叁,12258420
孙燕姿,9272
棉子,12444171
温岚,9612
坠,34307064
陈雪凝,12382970
袁娅维,10473
银临,188565
高鱼,32829923
赵方婧,12023202
金玟岐,893259
A-Lin,7063
Superluckyqi,30700959
石白其,28175491
妖姬,30109622
薛明媛,12408182
凯瑟喵,12003038
封茗囧菌,12172529
十豆彡,32750845
洛天依,906118
锦零,12277185
张碧晨,1024308
王胜娚,9808
Uu,32208979
刘柏辛Lexie,1124151
萨顶顶,9270
王梓钰,12048239
徐海俏,12037181
于梓贝,30914421
蔡依林,7219
丁芙妮,12206844
周笔畅,10558
AGA,768208
曾轶可,10750
刘若英,8326
于果,12262303
蓝心羽,30207301
丫蛋蛋,29999237
刘瑞琦,840134
梁静茹,8325
林忆莲,8336
Aki阿杰,188558
陈慧娴,7225
三无MarBlue,1056002
戴羽彤,12867228
谢春花,1039895
王心凌,9606
不才,961358
一玟,33927570
邹玲儿(LIMY),13009414
糯米Nomi,32042995
很美味,12358435
耳朵玥,32747902
Jam,1071031
张惠妹,10559
谢安琪,9952
曲肖冰,12419710
卫兰,9605
程响,7424
阿肆,7122
芝麻Mochi,12195788
曲婉婷,9178
邓丽君,7570
许飞,9941
于潼,30476029
黄霄雲,14077324
小天才鸭,31721486
小时姑娘,12079173
苏晗,32725601
郁可唯,10200
阮言Ruany,13286226
VaVa毛衍七,1038099
杨丞琳,10199
歌手名字,歌手ID
音阙诗听,12174521
群星,122455
房东的猫,1050282
Beyond,11127
八三夭,11109
国风堂,31862479
Higher Brothers,12002201
宝宝巴士,14714082
恋恋故人难,32041318
S.H.E,12709
南征北战NZBZ,189873
苏打绿,12707
五月天,13193
Fine乐团,1160085
伍佰 & China Blue,222871
初相见,12287900
逃跑计划,12977
落日飞车,11074
88rising,15022053
By2,11097
朋友请听好,34435690
好妹妹,711683
鹿先森乐队,1195028
茄子蛋,1039873
新乐尘符,12503194
洛少爷,12060031
昼夜,12052034
旅行团,12111
牛奶咖啡,12437
C-BLOCK,11257
英雄联盟,1047337
F.I.R.,11562
红人馆,12320562
不靠谱组合,12296026
声入人心男团 Super Vocal,33630350
RAiNBOW计划,1047139
Gifty,14017398
GALA,11679
棱镜,1085047
南拳妈妈,12438
安全着陆,12204436
动力火车,11363
饭碗的彼岸,1138028
痛仰乐队,12971
LJY,1211039
千坂,12138261
邱有句,12079231
橙光音乐,12063096
Gosh Music,12072073
宝楽CNBALLER,12191014
王尔康,12065135
满汉全席,1161201
小石头和孩子们,1145026
飞轮海,11561
羽·泉,13418
浙音4811（一个大金意）,30380203
MushrooM（蘑菇兄弟）,12459208
草蜢,11265
信乐团,13283
快乐男孩Joy Fresh,13790589
老王乐队,12676071
阿里郎,11015
万能青年旅店,13223
直火帮 Straight Fire Gang,12003155
小旭音乐,900347
青鸟飞鱼,12604
dance flow,11437
RT,12327097
至上励合,13584
橘子海 (Orange Ocean),1184074
丢火车,11370
安子与九妹,12002183
告五人,12676697
塞壬唱片-MSR,32540734
ANU,12074125
活死人,12200652
